Site,414nm,749nm,901nm,950nm,1001nm,1049nm,1248nm,1548nm,ThetaFe,ThetaTi,TiO2
Apollo12-1,0.04112,0.0722,0.07936,0.0794,0.08214,0.08598,0.10462,0.12918,1.340710306,1.108398732,3.35
Apollo12-2,0.03948,0.07006,0.0768,0.07732,0.08032,0.08416,0.10236,0.1267,1.348664468,1.106470483,3.5
Apollo12-3,0.04048,0.07084,0.07708,0.0771,0.08004,0.0828,0.10048,0.1244,1.364412695,1.113495756,2.9
Apollo12-4,0.03682,0.06518,0.07072,0.07132,0.07394,0.0786,0.0974,0.1207,1.391857239,1.119028104,2.7
Apollo12-5,0.04132,0.072,0.07794,0.0776,0.08038,0.08312,0.10108,0.12476,1.370300963,1.113607317,3.5
Apollo12-6,0.03874,0.06852,0.07502,0.07558,0.07816,0.08184,0.09988,0.12306,1.359523245,1.112020714,2.7
Apollo12-7,0.03762,0.06686,0.07294,0.07368,0.07692,0.08024,0.0981,0.12106,1.371706664,1.112744997,3.2
Apollo12-8,0.03616,0.06502,0.0717,0.0724,0.0748,0.08032,0.09838,0.12122,1.368328994,1.109560527,3.6
Apollo14LM,0.04574,0.0831,0.09232,0.09446,0.0993,0.10394,0.12458,0.15164,1.184360738,1.061767297,1.75
Apollo14G,0.05348,0.09414,0.10354,0.1043,0.10948,0.11294,0.13496,0.16184,1.188411918,1.059273634,1.68
Apollo14Compre,0.04476,0.0816,0.09076,0.0929,0.09776,0.10166,0.12204,0.1482,1.19035058,1.062762572,1.7
Apollo15LM,0.04216,0.07726,0.08446,0.08626,0.0905,0.09186,0.11492,0.14244,1.277918179,1.069021021,1.9
Apollo15S1,0.03742,0.07164,0.08034,0.08152,0.08476,0.089,0.10926,0.13692,1.271064635,1.05160073,1.59
Apollo15S2,0.05174,0.09328,0.10102,0.10318,0.1079,0.11234,0.13494,0.16454,1.197905924,1.044761487,1.32
Apollo15S4,0.03802,0.07182,0.08004,0.08116,0.0845,0.08756,0.10748,0.13462,1.288279553,1.0606687,1.55
Apollo15S6,0.042,0.08088,0.0909,0.09346,0.09742,0.10094,0.12152,0.15134,1.135924605,1.025414029,1.5
Apollo15S7,0.0462,0.08646,0.0961,0.0979,0.10222,0.1039,0.12502,0.15498,1.172933469,1.033425585,1.25
Apollo15S8,0.04006,0.07394,0.08152,0.08318,0.087,0.0898,0.11144,0.13906,1.283528172,1.071744324,1.72
Apollo15S9,0.04028,0.07448,0.08002,0.0803,0.08288,0.0858,0.10614,0.13298,1.356071676,1.069266609,1.78
Apollo15S9a,0.03844,0.07108,0.07552,0.07494,0.07734,0.08094,0.10434,0.1314,1.398376924,1.077133401,1.84
Apollo16LM,0.07594,0.12898,0.14368,0.14748,0.1537,0.15728,0.18154,0.21344,0.858734734,1.01409422,0.6
Apollo16S1,0.06948,0.12012,0.13504,0.13894,0.1449,0.14876,0.17238,0.20444,0.843161706,1.018811943,0.58
Apollo16S2,0.07912,0.13126,0.14668,0.14922,0.15534,0.15864,0.1812,0.21364,0.876320278,1.025925812,0.6
Apollo16S4,0.06944,0.12088,0.13576,0.1392,0.1453,0.14802,0.17054,0.20326,0.865112391,1.01249878,0.52
Apollo16S5,0.06966,0.12186,0.13674,0.14026,0.1465,0.14722,0.17008,0.2028,0.86218864,1.007100963,0.65
Apollo16S6,0.08234,0.1364,0.15114,0.15346,0.16038,0.16188,0.18448,0.21692,0.898703252,1.017468613,0.67
Apollo16S8,0.08152,0.135,0.14754,0.15026,0.15692,0.15956,0.18158,0.2131,0.949728761,1.020243563,0.56
Apollo16S9,0.07402,0.12568,0.139,0.14254,0.14884,0.15062,0.17336,0.20444,0.917465148,1.020579165,0.61
Apollo16S11,0.11438,0.17998,0.19936,0.2003,0.20712,0.21472,0.23722,0.27424,0.764402022,0.977999646,0.41
Apollo16S13,0.09924,0.15824,0.17468,0.1768,0.18454,0.18978,0.218,0.25106,0.830533138,1.004901243,0.54
Apollo17LM,0.03728,0.06104,0.06786,0.06946,0.07218,0.0746,0.08898,0.10846,1.359467152,1.173408468,8.5
Apollo17S1,0.03246,0.05312,0.0587,0.05948,0.06154,0.06478,0.07762,0.09418,1.447680204,1.190520339,9.6
Apollo17S2,0.0611,0.1074,0.11982,0.12276,0.1286,0.1301,0.1536,0.18388,0.98878495,1.032704278,1.5
Apollo17S3,0.05646,0.09794,0.11078,0.11238,0.11778,0.12228,0.14192,0.16998,1.03467271,1.061147646,1.8
Apollo17S5,0.0343,0.05734,0.06522,0.06646,0.06914,0.07124,0.0845,0.1041,1.350774354,1.169988016,9.9
Apollo17S6,0.04254,0.07626,0.08522,0.0876,0.09184,0.09542,0.11016,0.13492,1.201052377,1.086005631,3.4
Apollo17S7,0.03904,0.07044,0.07848,0.08136,0.08522,0.08838,0.10276,0.12642,1.232256618,1.094921246,3.9
Apollo17S8,0.03758,0.06748,0.07654,0.07894,0.0826,0.0857,0.10096,0.12374,1.207489358,1.104796415,4.3
Apollo17S9,0.03484,0.05872,0.06636,0.06778,0.07042,0.07324,0.08622,0.1058,1.347636878,1.162443259,6.4
Apollo17LRV1,0.03116,0.05282,0.06076,0.06278,0.06564,0.06762,0.07986,0.09906,1.318764195,1.172255675,8
Apollo17LRV2,0.0371,0.06376,0.07328,0.07566,0.07904,0.08144,0.0954,0.11762,1.171188441,1.140143311,4.4
Apollo17LRV3,0.0326,0.05714,0.06552,0.0681,0.0716,0.07338,0.08644,0.10762,1.237595518,1.143359162,5.5
Apollo17LRV4/S2a,0.05744,0.10156,0.1137,0.1169,0.1218,0.12674,0.1487,0.17828,0.992729253,1.040693169,1.3
Apollo17LRV5,0.05126,0.08814,0.0992,0.1016,0.10556,0.1089,0.12632,0.15224,1.086837089,1.087321527,2.6
Apollo17LRV6,0.04832,0.084,0.09498,0.0974,0.10128,0.10566,0.12284,0.1484,1.091691415,1.089058586,2.6
Apollo17LRV7,0.03142,0.05404,0.06196,0.0646,0.06778,0.0694,0.08192,0.10238,1.268230629,1.161383222,6.8
Apollo17LRV8,0.03194,0.05374,0.0618,0.0638,0.06662,0.06874,0.08102,0.10078,1.310302486,1.174322079,6.6
Apollo17LRV9,0.033,0.05614,0.0645,0.0663,0.06942,0.07166,0.08474,0.10492,1.300297374,1.162879772,6.1
Apollo17LRV10,0.03898,0.07026,0.0782,0.08122,0.08482,0.088,0.1024,0.12628,1.230740414,1.095996462,3.7
Apollo17LRV11,0.03602,0.06478,0.07392,0.0761,0.07968,0.08296,0.09744,0.11974,1.217167484,1.109998234,4.5
Apollo17LRV12,0.03266,0.05364,0.06006,0.0611,0.06358,0.06618,0.0789,0.09588,1.421894939,1.18751804,10
Luna16,0.02978,0.05104,0.05792,0.05932,0.06122,0.06332,0.07662,0.095,1.412184245,1.170126833,3.41
Luna20,0.06286,0.11272,0.12512,0.12826,0.1336,0.13578,0.16138,0.19344,0.976875019,1.007727596,0.46
Luna24,0.03868,0.06822,0.0705,0.07052,0.0726,0.07438,0.09456,0.1189,1.427440287,1.114472636,1.1
Chang'E 5,0.0344,0.05972,0.06566,0.06558,0.06692,0.06764,0.08312,0.1037,1.422301224,1.143183977,5
